Август;1;0,08%
Авксентий;2;0,15%
Адальберт;2;0,15%
Адам;23;1,74%
Адольф;1;0,08%
Адриан;2;0,15%
Аифал;1;0,08%
Александр;37;2,80%
Алексей;6;0,45%
Амбросий;2;0,15%
Андрей;33;2,50%
Ансельм;1;0,08%
Антон;71;5,38%
Аполлинарий;1;0,08%
Апполоний;1;0,08%
Аристрах;1;0,08%
Афанасий;5;0,38%
Богуслав;1;0,08%
Валентин;1;0,08%
Валерьян;2;0,15%
Варфоломей;4;0,30%
Василий;57;4,32%
Венедикт;6;0,45%
Викентий;25;1,89%
Виктор;11;0,83%
Вильгельм;1;0,08%
Владимир;1;0,08%
Владислав;3;0,23%
Вонифатий;1;0,08%
Всеволод;1;0,08%
Гаврила;9;0,68%
Гедеон;1;0,08%
Георгий;14;1,06%
Григорий;17;1,29%
Давыд;1;0,08%
Данила;6;0,45%
Дементий;2;0,15%
Демьян;1;0,08%
Денис;1;0,08%
Дмитрий;9;0,68%
Доминик;8;0,61%
Дорофей;1;0,08%
Евгений;1;0,08%
Евсей;1;0,08%
Евстафий;2;0,15%
Ефим;1;0,08%
Евфремъ;1;0,08%
Елен;1;0,08%
Емельян;1;0,08%
Самуил;2;0,15%
Захар;1;0,08%
Яков;24;1,82%
Януарий;1;0,08%
Иван;153;11,59%
Игнатий;33;2,50%
Иероним;6;0,45%
Иларион;1;0,08%
Илья;4;0,30%
Иоаким;6;0,45%
Иоасаф;1;0,08%
Иосафат;8;0,61%
Осип;81;6,14%
Ипполит;3;0,23%
Исидор;2;0,15%
Юлиан;11;0,83%
Юстин;18;1,36%
Казимир;10;0,76%
Карл;8;0,61%
Карп;2;0,15%
Куприян;5;0,38%
Кирилл;7;0,53%
Климент;5;0,38%
Клит;1;0,08%
Кузьма;1;0,08%
Кондрат;1;0,08%
Константин;19;1,44%
Ксенофонт;1;0,08%
Лаврентий;3;0,23%
Лев;20;1,52%
Леонтий;4;0,30%
Леонард;1;0,08%
Хлодвиг;7;0,53%
Лука;8;0,61%
Лукиан;1;0,08%
Макар;1;0,08%
Максим;4;0,30%
Максимилиан;3;0,23%
Мартин;11;0,83%
Матвей;11;0,83%
Мелетий;1;0,08%
Мефодий;1;0,08%
Митрофан;1;0,08%
Михаил;57;4,32%
Моисей;1;0,08%
Нестор;2;0,15%
Никанор;2;0,15%
Никита;2;0,15%
Никодим;2;0,15%
Николай;48;3,64%
Олимпий;1;0,08%
Онуфрий;4;0,30%
Павел;27;2,05%
Пантелеймон;1;0,08%
Парфений;1;0,08%
Петр;41;3,11%
Плакид;1;0,08%
Платон;4;0,30%
Поликарп;1;0,08%
Порфирий;1;0,08%
Рафаил;2;0,15%
Роман;6;0,45%
Ромуальд;3;0,23%
Савва;2;0,15%
Самсон;1;0,08%
Севастьян;1;0,08%
Семён;34;2,58%
Серафим;1;0,08%
Сильвестр;7;0,53%
Софроний;1;0,08%
Станислав;14;1,06%
Степан;47;3,56%
Телесфор;1;0,08%
Тимофей;1;0,08%
Тит;2;0,15%
Фабиан;1;0,08%
Фавст;4;0,30%
Фаустин;1;0,08%
Фадей;15;1,14%
Федосий;2;0,15%
Феликс;8;0,61%
Фелициан;2;0,15%
Фёдор;35;2,65%
Феофан;1;0,08%
Феофил;5;0,38%
Фердинанд;1;0,08%
Филипп;7;0,53%
Флор;7;0,53%
Флориан;2;0,15%
Фома;15;1,14%
Франциск;19;1,44%
Эдуард;1;0,08%
Иакинф;1;0,08%
