Александр;354;6,19%
Василий;185;3,23%
Григорий;78;1,36%
Иван;544;9,51%
Игнатий;109;1,90%
Климент;15;0,26%
Юстин;39;0,68%
Дмитрий;53;0,93%
Георгий;89;1,56%
Николай;402;7,02%
Владимир;258;4,51%
Арсений;13;0,23%
Виталий;14;0,24%
Адриан;6;0,10%
Гаврила;21;0,37%
Емельян;9;0,16%
Михаил;288;5,03%
Сильвестр;11;0,19%
Борис;54;0,94%
Евгений;77;1,35%
Фёдор;104;1,82%
Анатолий;22;0,38%
Петр;147;2,57%
Осип;286;5,00%
Константин;210;3,67%
Олег;1;0,02%
Станислав;23;0,40%
Антон;217;3,79%
Павел;130;2,27%
Алексей;62;1,08%
Африкан;1;0,02%
Дормидонт;1;0,02%
Сергей;91;1,59%
Вацлав;25;0,44%
Яков;77;1,35%
Семён;61;1,07%
Фома;43;0,75%
Леопольд;3;0,05%
Валентин;10;0,17%
Трофим;2;0,03%
Адам;53;0,93%
Юлиан;63;1,10%
Лев;66;1,15%
Викентий;52;0,91%
Виктор;53;0,93%
Лаврентий;11;0,19%
Генрих;3;0,05%
Леонид;20;0,35%
Вадим;1;0,02%
Карл;13;0,23%
Адольф;8;0,14%
Фавст;14;0,24%
Никодим;13;0,23%
Елисей;2;0,03%
Парфений;3;0,05%
Созонт;2;0,03%
Флор;15;0,26%
Аркадий;9;0,16%
Палладий;2;0,03%
Евстафий;21;0,37%
Ярослав;6;0,10%
Максим;4;0,07%
Ромуальд;5;0,09%
Афанасий;24;0,42%
Владислав;12;0,21%
Платон;51;0,89%
Иероним;13;0,23%
Ксенофонт;6;0,10%
Роман;20;0,35%
Эдуард;10;0,17%
Степан;126;2,20%
Андрей;92;1,61%
Ипполит;21;0,37%
Демьян;2;0,03%
Игорь;4;0,07%
Митрофан;10;0,17%
Феликс;12;0,21%
Геннадий;4;0,07%
Онуфрий;13;0,23%
Денис;3;0,05%
Франциск;27;0,47%
Феофил;21;0,37%
Всеволод;16;0,28%
Яроникъ;1;0,02%
Леонард;4;0,07%
Богдан;3;0,05%
Зинон;7;0,12%
Иларион;15;0,26%
Келестин;4;0,07%
Куприян;11;0,19%
Лука;28;0,49%
Никанор;24;0,42%
Евграф;2;0,03%
Ростислав;2;0,03%
Данила;20;0,35%
Аполлинарий;6;0,10%
Иоаким;12;0,21%
;1;0,02%
Софроний;5;0,09%
Модест;2;0,03%
Тит;11;0,19%
Августинъ;7;0,12%
Апполон;3;0,05%
Валерьян;17;0,30%
Леонтий;16;0,28%
Исидор;8;0,14%
Ильдефонс;3;0,05%
Иосафат;10;0,17%
Наркис;4;0,07%
Илья;18;0,31%
Бронислав;2;0,03%
Тарас;2;0,03%
Прокофий;1;0,02%
Казимир;21;0,37%
Лонгин;7;0,12%
Фадей;18;0,31%
Август;4;0,07%
Марк;5;0,09%
Хрисанф;5;0,09%
Хлодвиг;16;0,28%
Богуслав;1;0,02%
Измаил;2;0,03%
Матвей;16;0,28%
Федосий;9;0,16%
Нил;2;0,03%
Фегонтъ;1;0,02%
Зиновий;5;0,09%
Плакид;3;0,05%
Марин;1;0,02%
Витольд;2;0,03%
Никандр;5;0,09%
Севериан;1;0,02%
Эразм;2;0,03%
Мартин;19;0,33%
Иерон;1;0,02%
Фердинанд;3;0,05%
Евдоким;2;0,03%
Виссарион;1;0,02%
Гервасий;3;0,05%
Корнилий;3;0,05%
Каликст;1;0,02%
Филипп;17;0,30%
Адальберт;2;0,03%
Захар;7;0,12%
Артемий;3;0,05%
Гаспар;1;0,02%
Тихон;3;0,05%
Наполеон;1;0,02%
Ричард;1;0,02%
Вениамин;2;0,03%
Прохор;2;0,03%
Давыд;4;0,07%
Иннокентий;1;0,02%
Венедикт;11;0,19%
Мефодий;3;0,05%
Еварест;1;0,02%
Конкордий;1;0,02%
Болеслав;4;0,07%
Иона;1;0,02%
Моисей;2;0,03%
Донат;1;0,02%
Поликарп;5;0,09%
Дамаскин;1;0,02%
Мелхиседек;1;0,02%
Лавр;1;0,02%
Савва;2;0,03%
Вальдемар;1;0,02%
Маркиан;1;0,02%
Клавдий;2;0,03%
Тимофей;3;0,05%
Доместиан;1;0,02%
Елевферий;1;0,02%
Кирилл;8;0,14%
Руф;1;0,02%
Эраст;1;0,02%
Кандид;1;0,02%
Патапий;1;0,02%
Капитон;2;0,03%
Серафим;4;0,07%
Тимон;1;0,02%
Валерий;3;0,05%
Севастьян;2;0,03%
Иоиль;1;0,02%
Мирон;1;0,02%
Бальтазар;1;0,02%
Евгардъ;1;0,02%
Никифор;3;0,05%
Евфремъ;2;0,03%
Гаэтано;2;0,03%
Иммануиль;2;0,03%
Порфирий;2;0,03%
Иакинф;2;0,03%
Филарет;2;0,03%
Савин;1;0,02%
Фортунат;1;0,02%
Фелициан;2;0,03%
Каллистрат;3;0,05%
Иринарх;1;0,02%
Андроник;1;0,02%
Дометий;1;0,02%
Онисим;1;0,02%
Анастасий;2;0,03%
Абдон;1;0,02%
Евсей;2;0,03%
Каллисфен;1;0,02%
Архип;2;0,03%
Савватий;1;0,02%
Максимилиан;5;0,09%
Маркел;1;0,02%
Глеб;2;0,03%
Януарий;2;0,03%
Самсон;2;0,03%
Филимон;1;0,02%
Ерофей;1;0,02%
Никита;3;0,05%
Аристрах;2;0,03%
Ксаверий;1;0,02%
Иоанникий;2;0,03%
Герасим;1;0,02%
Протасий;1;0,02%
Герман;2;0,03%
Авксентий;3;0,05%
Пантелеймон;3;0,05%
Велизар;1;0,02%
Ефим;2;0,03%
Кесарий;1;0,02%
Любомир;1;0,02%
Макар;2;0,03%
Доминик;10;0,17%
Евалампий;1;0,02%
Юлий;2;0,03%
Амос;2;0,03%
Кузьма;3;0,05%
Фабиан;2;0,03%
Олимпий;2;0,03%
Автоном;2;0,03%
Епифан;1;0,02%
Серапион;2;0,03%
Ермил;1;0,02%
Аарон;1;0,02%
Клеоник;1;0,02%
Мелетий;1;0,02%
Аникита;1;0,02%
Фатій;3;0,05%
Дорофей;2;0,03%
Филофей;1;0,02%
Аифал;1;0,02%
Амбросий;2;0,03%
Ансельм;1;0,02%
Апполоний;1;0,02%
Варфоломей;4;0,07%
Вонифатий;1;0,02%
Дементий;2;0,03%
Елен;1;0,02%
Иоасаф;1;0,02%
Карп;2;0,03%
Кондрат;1;0,02%
Лукиан;1;0,02%
Нестор;2;0,03%
Рафаил;1;0,02%
Самуил;1;0,02%
Телесфор;1;0,02%
Фаустин;1;0,02%
Феофан;1;0,02%
Флориан;2;0,03%
