Адам;14;1,69%
Виктор;10;1,20%
Хлодвиг;6;0,72%
Антон;36;4,34%
Адольф;7;0,84%
Иван;103;12,41%
Оттоне;1;0,12%
Альфонс;2;0,24%
Михаил;31;3,73%
Семён;16;1,93%
Януарий;3;0,36%
Климент;13;1,57%
Иоаким;3;0,36%
Игнатий;19;2,29%
Осип;67;8,07%
Лаврентий;2;0,24%
Арефа;1;0,12%
Петр;17;2,05%
Станислав;8;0,96%
Николай;25;3,01%
Парфений;3;0,36%
Павел;21;2,53%
Яков;6;0,72%
Юлиан;22;2,65%
Лев;11;1,33%
Константин;28;3,37%
Феофил;10;1,20%
Аполлинарий;1;0,12%
Александр;28;3,37%
Виталий;4;0,48%
Франциск;13;1,57%
Вильгельм;1;0,12%
Степан;15;1,81%
Матвей;5;0,60%
Фёдор;11;1,33%
Георгий;8;0,96%
Иосафат;7;0,84%
Симплиций;1;0,12%
Фома;8;0,96%
Викентий;16;1,93%
Арсений;2;0,24%
Владислав;4;0,48%
Ансельм;1;0,12%
Фелициан;6;0,72%
Леонард;1;0,12%
Василий;22;2,65%
Лука;4;0,48%
Августинъ;3;0,36%
Макар;1;0,12%
Фердинанд;4;0,48%
Федосий;3;0,36%
Альбин;2;0,24%
Феликс;19;2,29%
Карл;7;0,84%
Ипполит;6;0,72%
Эдуард;6;0,72%
Евстафий;1;0,12%
Либертъ;1;0,12%
Ильдефонс;1;0,12%
Фаустин;1;0,12%
Мамертъ;1;0,12%
Тит;3;0,36%
Палладий;1;0,12%
Лавр;1;0,12%
Вацлав;1;0,12%
Кесарий;1;0,12%
Сильвестр;2;0,24%
Флор;2;0,24%
Валерьян;4;0,48%
Герасим;1;0,12%
Корнилий;1;0,12%
Ксаверий;2;0,24%
Севериан;1;0,12%
Юстин;1;0,12%
Гаврила;1;0,12%
Иероним;2;0,24%
Плакид;1;0,12%
Казимир;9;1,08%
Зинон;2;0,24%
Афанасий;4;0,48%
Андрей;9;1,08%
Платон;6;0,72%
Мариан;2;0,24%
Венедикт;3;0,36%
Генрих;2;0,24%
Рафаил;3;0,36%
Данила;2;0,24%
Максим;1;0,12%
Мартин;2;0,24%
Иошер;1;0,12%
Куприян;3;0,36%
Фавст;1;0,12%
Григорий;10;1,20%
Ромуальд;2;0,24%
Илья;3;0,36%
Агатинъ;1;0,12%
Леонтий;1;0,12%
Гервасий;1;0,12%
Кирилл;1;0,12%
Денис;1;0,12%
Герман;1;0,12%
Алексей;2;0,24%
Збигнев;2;0,24%
Ярослав;2;0,24%
Роман;1;0,12%
Савелий;1;0,12%
Наркис;1;0,12%
Северин;3;0,36%
Иммануиль;2;0,24%
Адальберт;3;0,36%
Вонифатий;1;0,12%
Онуфрий;2;0,24%
Иларий;1;0,12%
Иларион;1;0,12%
Дементий;1;0,12%
Фадей;2;0,24%
Валерий;1;0,12%
Апполон;1;0,12%
Ескиллъ;1;0,12%
Зиновий;1;0,12%
Ксенофонт;1;0,12%
Целестинъ;1;0,12%
Иннокентий;1;0,12%
Гаспар;1;0,12%
Маркел;1;0,12%
Богуслав;1;0,12%
