Август;1;0,09%
Авксентий;2;0,19%
Адам;21;1,94%
Адольф;1;0,09%
Адриан;2;0,19%
Аифал;1;0,09%
Александр;33;3,05%
Алексей;4;0,37%
Амбросий;2;0,19%
Андрей;27;2,50%
Ансельм;1;0,09%
Антон;56;5,18%
Аполлинарий;1;0,09%
Апполоний;1;0,09%
Аристрах;1;0,09%
Афанасий;5;0,46%
Валерьян;2;0,19%
Варфоломей;4;0,37%
Василий;49;4,53%
Венедикт;4;0,37%
Викентий;19;1,76%
Виктор;9;0,83%
Владимир;1;0,09%
Адальберт;1;0,09%
Вонифатий;1;0,09%
Всеволод;1;0,09%
Гаврила;6;0,56%
Георгий;12;1,11%
Григорий;13;1,20%
Давыд;1;0,09%
Данила;5;0,46%
Дементий;2;0,19%
Демьян;1;0,09%
Денис;1;0,09%
Дмитрий;7;0,65%
Доминик;8;0,74%
Дорофей;1;0,09%
Евгений;1;0,09%
Евсей;1;0,09%
Евстафий;2;0,19%
Ефим;1;0,09%
Евфремъ;1;0,09%
Елен;1;0,09%
Емельян;1;0,09%
Захар;1;0,09%
Яков;20;1,85%
Януарий;1;0,09%
Иван;127;11,75%
Игнатий;26;2,41%
Иероним;4;0,37%
Иларион;1;0,09%
Илья;3;0,28%
Иоаким;4;0,37%
Иоасаф;1;0,09%
Иосафат;4;0,37%
Осип;69;6,38%
Ипполит;2;0,19%
Исидор;2;0,19%
Юлиан;10;0,93%
Юстин;17;1,57%
Казимир;7;0,65%
Карл;6;0,56%
Карп;2;0,19%
Куприян;4;0,37%
Кирилл;5;0,46%
Климент;5;0,46%
Кузьма;1;0,09%
Кондрат;1;0,09%
Константин;16;1,48%
Ксенофонт;1;0,09%
Лаврентий;2;0,19%
Лев;17;1,57%
Леонтий;3;0,28%
Леонард;1;0,09%
Хлодвиг;6;0,56%
Лука;6;0,56%
Лукиан;1;0,09%
Макар;1;0,09%
Максим;3;0,28%
Максимилиан;3;0,28%
Мартин;10;0,93%
Матвей;8;0,74%
Мефодий;1;0,09%
Митрофан;1;0,09%
Михаил;46;4,26%
Моисей;1;0,09%
Нестор;2;0,19%
Никанор;2;0,19%
Никита;2;0,19%
Никодим;2;0,19%
Николай;39;3,61%
Олимпий;1;0,09%
Онуфрий;3;0,28%
Павел;22;2,04%
Пантелеймон;1;0,09%
Парфений;1;0,09%
Петр;35;3,24%
Плакид;1;0,09%
Платон;4;0,37%
Поликарп;1;0,09%
Порфирий;1;0,09%
Рафаил;1;0,09%
Роман;5;0,46%
Ромуальд;3;0,28%
Савва;1;0,09%
Самуил;1;0,09%
Севастьян;1;0,09%
Семён;29;2,68%
Серафим;1;0,09%
Сильвестр;5;0,46%
Софроний;1;0,09%
Станислав;9;0,83%
Степан;35;3,24%
Телесфор;1;0,09%
Тимофей;1;0,09%
Тит;2;0,19%
Фабиан;1;0,09%
Фавст;3;0,28%
Фаустин;1;0,09%
Фадей;11;1,02%
Федосий;2;0,19%
Феликс;5;0,46%
Фелициан;1;0,09%
Фёдор;28;2,59%
Феофан;1;0,09%
Феофил;5;0,46%
Фердинанд;1;0,09%
Филипп;6;0,56%
Флор;6;0,56%
Флориан;2;0,19%
Фома;13;1,20%
Франциск;15;1,39%
Эдуард;1;0,09%
Иакинф;1;0,09%
