Александр;349;6,38%
Василий;158;2,89%
Григорий;75;1,37%
Иван;520;9,50%
Игнатий;102;1,86%
Климент;23;0,42%
Юстин;23;0,42%
Дмитрий;46;0,84%
Георгий;85;1,55%
Николай;388;7,09%
Владимир;257;4,70%
Арсений;15;0,27%
Виталий;18;0,33%
Адам;46;0,84%
Адриан;4;0,07%
Виктор;54;0,99%
Гаврила;16;0,29%
Емельян;8;0,15%
Михаил;273;4,99%
Сильвестр;8;0,15%
Борис;54;0,99%
Евгений;76;1,39%
Хлодвиг;16;0,29%
Фёдор;87;1,59%
Анатолий;22;0,40%
Петр;129;2,36%
Антон;197;3,60%
Осип;284;5,19%
Константин;222;4,06%
Олег;1;0,02%
Станислав;22;0,40%
Адольф;14;0,26%
Оттоне;1;0,02%
Альфонс;2;0,04%
Семён;48;0,88%
Павел;129;2,36%
Алексей;60;1,10%
Африкан;1;0,02%
Дормидонт;1;0,02%
Сергей;91;1,66%
Вацлав;26;0,48%
Януарий;4;0,07%
Яков;63;1,15%
Фома;38;0,69%
Иоаким;11;0,20%
Леопольд;3;0,05%
Валентин;10;0,18%
Трофим;2;0,04%
Юлиан;75;1,37%
Лев;60;1,10%
Викентий;49;0,90%
Лаврентий;11;0,20%
Арефа;1;0,02%
Генрих;5;0,09%
Леонид;20;0,37%
Вадим;1;0,02%
Карл;14;0,26%
Фавст;12;0,22%
Никодим;11;0,20%
Елисей;2;0,04%
Парфений;5;0,09%
Созонт;2;0,04%
Флор;11;0,20%
Аркадий;9;0,16%
Палладий;3;0,05%
Евстафий;20;0,37%
Ярослав;8;0,15%
Максим;2;0,04%
Ромуальд;4;0,07%
Афанасий;23;0,42%
Владислав;16;0,29%
Платон;53;0,97%
Иероним;11;0,20%
Ксенофонт;6;0,11%
Роман;16;0,29%
Эдуард;15;0,27%
Степан;106;1,94%
Андрей;74;1,35%
Ипполит;25;0,46%
Феофил;26;0,48%
Демьян;1;0,02%
Игорь;4;0,07%
Аполлинарий;6;0,11%
Митрофан;9;0,16%
Феликс;26;0,48%
Геннадий;4;0,07%
Онуфрий;12;0,22%
Денис;3;0,05%
Франциск;25;0,46%
Всеволод;15;0,27%
Яроникъ;1;0,02%
Вильгельм;1;0,02%
Леонард;4;0,07%
Богдан;3;0,05%
Зинон;9;0,16%
Иларион;15;0,27%
Келестин;4;0,07%
Куприян;10;0,18%
Лука;26;0,48%
Никанор;22;0,40%
Евграф;2;0,04%
Матвей;13;0,24%
Ростислав;2;0,04%
Данила;17;0,31%
Иосафат;13;0,24%
Симплиций;1;0,02%
;1;0,02%
Софроний;4;0,07%
Ансельм;1;0,02%
Фелициан;7;0,13%
Модест;2;0,04%
Тит;12;0,22%
Августинъ;10;0,18%
Макар;2;0,04%
Фердинанд;6;0,11%
Федосий;10;0,18%
Апполон;4;0,07%
Валерьян;19;0,35%
Альбин;2;0,04%
Леонтий;14;0,26%
Исидор;6;0,11%
Ильдефонс;4;0,07%
Наркис;5;0,09%
Илья;18;0,33%
Бронислав;2;0,04%
Тарас;2;0,04%
Либертъ;1;0,02%
Фаустин;1;0,02%
Прокофий;1;0,02%
Казимир;23;0,42%
Лонгин;7;0,13%
Мамертъ;1;0,02%
Фадей;9;0,16%
Август;3;0,05%
Марк;5;0,09%
Хрисанф;5;0,09%
Богуслав;2;0,04%
Измаил;2;0,04%
Лавр;2;0,04%
Нил;2;0,04%
Фегонтъ;1;0,02%
Зиновий;6;0,11%
Плакид;3;0,05%
Марин;1;0,02%
Кесарий;2;0,04%
Витольд;2;0,04%
Никандр;5;0,09%
Севериан;2;0,04%
Герасим;2;0,04%
Эразм;2;0,04%
Мартин;11;0,20%
Иерон;1;0,02%
Евдоким;2;0,04%
Виссарион;1;0,02%
Гервасий;4;0,07%
Корнилий;4;0,07%
Каликст;1;0,02%
Ксаверий;3;0,05%
Филипп;11;0,20%
Адальберт;4;0,07%
Захар;6;0,11%
Артемий;3;0,05%
Гаспар;2;0,04%
Тихон;3;0,05%
Наполеон;1;0,02%
Ричард;1;0,02%
Вениамин;2;0,04%
Прохор;2;0,04%
Давыд;3;0,05%
Иннокентий;2;0,04%
Венедикт;10;0,18%
Мефодий;2;0,04%
Мариан;2;0,04%
Еварест;1;0,02%
Конкордий;1;0,02%
Болеслав;4;0,07%
Иона;1;0,02%
Моисей;1;0,02%
Донат;1;0,02%
Поликарп;4;0,07%
Дамаскин;1;0,02%
Мелхиседек;1;0,02%
Рафаил;3;0,05%
Савва;1;0,02%
Вальдемар;1;0,02%
Маркиан;1;0,02%
Клавдий;2;0,04%
Тимофей;2;0,04%
Доместиан;1;0,02%
Елевферий;1;0,02%
Иошер;1;0,02%
Кирилл;4;0,07%
Руф;1;0,02%
Эраст;1;0,02%
Кандид;1;0,02%
Патапий;1;0,02%
Капитон;2;0,04%
Серафим;3;0,05%
Тимон;1;0,02%
Агатинъ;1;0,02%
Валерий;4;0,07%
Севастьян;1;0,02%
Иоиль;1;0,02%
Мирон;1;0,02%
Бальтазар;1;0,02%
Евгардъ;1;0,02%
Герман;3;0,05%
Никифор;3;0,05%
Евфремъ;1;0,02%
Гаэтано;2;0,04%
Иммануиль;4;0,07%
Порфирий;1;0,02%
Иакинф;1;0,02%
Филарет;2;0,04%
Савин;1;0,02%
Фортунат;1;0,02%
Збигнев;2;0,04%
Савелий;1;0,02%
Каллистрат;3;0,05%
Иринарх;1;0,02%
Северин;3;0,05%
Андроник;1;0,02%
Дометий;1;0,02%
Онисим;1;0,02%
Анастасий;2;0,04%
Абдон;1;0,02%
Евсей;1;0,02%
Каллисфен;1;0,02%
Архип;2;0,04%
Вонифатий;1;0,02%
Савватий;1;0,02%
Максимилиан;2;0,04%
Маркел;2;0,04%
Иларий;1;0,02%
Дементий;1;0,02%
Глеб;2;0,04%
Самсон;2;0,04%
Филимон;1;0,02%
Ерофей;1;0,02%
Никита;1;0,02%
Аристрах;1;0,02%
Иоанникий;2;0,04%
Протасий;1;0,02%
Авксентий;1;0,02%
Пантелеймон;2;0,04%
Велизар;1;0,02%
Ескиллъ;1;0,02%
Ефим;1;0,02%
Любомир;1;0,02%
Доминик;2;0,04%
Евалампий;1;0,02%
Целестинъ;1;0,02%
Юлий;2;0,04%
Амос;2;0,04%
Кузьма;2;0,04%
Фабиан;1;0,02%
Олимпий;1;0,02%
Автоном;2;0,04%
Епифан;1;0,02%
Серапион;2;0,04%
Ермил;1;0,02%
Аарон;1;0,02%
Клеоник;1;0,02%
Мелетий;1;0,02%
Аникита;1;0,02%
Фатій;3;0,05%
Дорофей;1;0,02%
Филофей;1;0,02%
