Александр;386;5,68%
Василий;215;3,17%
Григорий;92;1,35%
Иван;673;9,91%
Игнатий;135;1,99%
Климент;28;0,41%
Юстин;41;0,60%
Дмитрий;55;0,81%
Георгий;99;1,46%
Николай;436;6,42%
Владимир;258;3,80%
Арсений;15;0,22%
Виталий;18;0,27%
Адам;69;1,02%
Адриан;6;0,09%
Виктор;65;0,96%
Гаврила;25;0,37%
Емельян;9;0,13%
Михаил;330;4,86%
Сильвестр;15;0,22%
Борис;54;0,80%
Евгений;77;1,13%
Хлодвиг;23;0,34%
Фёдор;122;1,80%
Анатолий;22;0,32%
Петр;170;2,50%
Антон;268;3,95%
Осип;365;5,37%
Константин;241;3,55%
Олег;1;0,01%
Станислав;36;0,53%
Адольф;15;0,22%
Оттоне;1;0,01%
Альфонс;2;0,03%
Семён;82;1,21%
Павел;156;2,30%
Алексей;66;0,97%
Африкан;1;0,01%
Дормидонт;1;0,01%
Сергей;91;1,34%
Вацлав;26;0,38%
Януарий;5;0,07%
Яков;87;1,28%
Фома;53;0,78%
Иоаким;17;0,25%
Леопольд;3;0,04%
Валентин;11;0,16%
Трофим;2;0,03%
Юлиан;86;1,27%
Лев;80;1,18%
Викентий;74;1,09%
Лаврентий;14;0,21%
Арефа;1;0,01%
Генрих;5;0,07%
Леонид;20;0,29%
Вадим;1;0,01%
Карл;22;0,32%
Фавст;16;0,24%
Никодим;13;0,19%
Елисей;2;0,03%
Парфений;6;0,09%
Созонт;2;0,03%
Флор;18;0,27%
Аркадий;9;0,13%
Палладий;3;0,04%
Евстафий;22;0,32%
Ярослав;8;0,12%
Максим;6;0,09%
Ромуальд;7;0,10%
Афанасий;28;0,41%
Владислав;19;0,28%
Платон;57;0,84%
Иероним;17;0,25%
Ксенофонт;7;0,10%
Роман;22;0,32%
Эдуард;16;0,24%
Степан;153;2,25%
Андрей;107;1,58%
Ипполит;28;0,41%
Феофил;31;0,46%
Демьян;2;0,03%
Игорь;4;0,06%
Аполлинарий;7;0,10%
Митрофан;10;0,15%
Феликс;34;0,50%
Геннадий;4;0,06%
Онуфрий;16;0,24%
Денис;4;0,06%
Франциск;44;0,65%
Всеволод;16;0,24%
Яроникъ;1;0,01%
Вильгельм;2;0,03%
Леонард;5;0,07%
Богдан;3;0,04%
Зинон;9;0,13%
Иларион;16;0,24%
Келестин;4;0,06%
Куприян;15;0,22%
Лука;34;0,50%
Никанор;24;0,35%
Евграф;2;0,03%
Матвей;24;0,35%
Ростислав;2;0,03%
Данила;23;0,34%
Иосафат;21;0,31%
Симплиций;1;0,01%
;1;0,01%
Софроний;5;0,07%
Ансельм;2;0,03%
Фелициан;9;0,13%
Модест;2;0,03%
Тит;14;0,21%
Августинъ;10;0,15%
Макар;3;0,04%
Фердинанд;7;0,10%
Федосий;12;0,18%
Апполон;4;0,06%
Валерьян;21;0,31%
Альбин;2;0,03%
Леонтий;18;0,27%
Исидор;8;0,12%
Ильдефонс;4;0,06%
Наркис;5;0,07%
Илья;22;0,32%
Бронислав;2;0,03%
Тарас;2;0,03%
Либертъ;1;0,01%
Фаустин;2;0,03%
Прокофий;1;0,01%
Казимир;33;0,49%
Лонгин;7;0,10%
Мамертъ;1;0,01%
Фадей;24;0,35%
Август;4;0,06%
Марк;5;0,07%
Хрисанф;5;0,07%
Богуслав;3;0,04%
Измаил;2;0,03%
Лавр;2;0,03%
Нил;2;0,03%
Фегонтъ;1;0,01%
Зиновий;6;0,09%
Плакид;4;0,06%
Марин;1;0,01%
Кесарий;2;0,03%
Витольд;2;0,03%
Никандр;5;0,07%
Севериан;2;0,03%
Герасим;2;0,03%
Эразм;2;0,03%
Мартин;22;0,32%
Иерон;1;0,01%
Евдоким;2;0,03%
Виссарион;1;0,01%
Гервасий;4;0,06%
Корнилий;4;0,06%
Каликст;1;0,01%
Ксаверий;3;0,04%
Филипп;18;0,27%
